Variable,P-value
DD_wavelet-LHL_glcm_ClusterTendency,0.24611847687967967
DD_wavelet-LHL_glcm_Contrast,0.7015612517440031
DD_wavelet-LHL_glcm_Correlation,0.33106108220800423
DD_wavelet-LHL_glcm_DifferenceAverage,0.9762564843834178
DD_wavelet-LHL_glcm_Imc1,0.6737972341876212
DD_wavelet-LHL_glrlm_LongRunEmphasis,0.1813985068355639
DD_wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.8524221615663768
DD_wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.8518113585341198
DD_wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.16948816832865915
DD_wavelet-LHL_glszm_LargeAreaEmphasis,0.01669955386818227
DD_wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.1499938792307724
DD_wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.8511550312406445
DD_wavelet-LHL_glszm_SizeZoneNonUniformity,0.14243363237041223
DD_wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.8227789914454768
DD_wavelet-LHL_glszm_SmallAreaEmphasis,0.38055634804945515
DD_wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.8900752768126032
DD_wavelet-LHL_glszm_ZoneEntropy,0.35076392925794964
DD_wavelet-LHL_gldm_DependenceEntropy,0.018205234181808302
DD_wavelet-LHL_gldm_DependenceVariance,0.41481418672518827
DD_wavelet-LHH_firstorder_Kurtosis,0.04054423054641965
DD_wavelet-LHH_firstorder_Maximum,0.04033469074414016
DD_wavelet-LHH_firstorder_Skewness,0.794422526989393
DD_wavelet-LHH_glcm_ClusterShade,0.18051394089840123
DD_wavelet-LHH_glcm_ClusterTendency,0.29690283738119727
DD_wavelet-LHH_glcm_Contrast,0.8265690679842602
DD_wavelet-LHH_glcm_Correlation,0.7408050478529408
DD_wavelet-LHH_glcm_Imc2,0.944032644017645
DD_wavelet-LHH_glrlm_LongRunEmphasis,0.02966843772413096
DD_wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.6019675789693336
DD_wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.1202842474130637
DD_wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.016070700246348293
DD_wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.0357072666878041
DD_wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.004781989814582834
DD_wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.6274884847269796
DD_wavelet-LHH_glszm_SizeZoneNonUniformity,0.12301877131098297
DD_wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.23578114879444545
DD_wavelet-LHH_glszm_SmallAreaEmphasis,0.029341411579409536
DD_wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.3135390801307147
DD_wavelet-LHH_glszm_ZoneEntropy,0.9782539971726603
DD_wavelet-HLL_firstorder_Entropy,0.4783065163287189
DD_wavelet-HLL_firstorder_Kurtosis,0.24611847687967967
DD_wavelet-HLL_firstorder_Skewness,0.48766530698009136
DD_wavelet-HLL_firstorder_Uniformity,0.561441097119328
DD_wavelet-HLL_glcm_ClusterShade,0.8485183672326537
DD_wavelet-HLL_glcm_Correlation,0.9047559202140856
DD_wavelet-HLL_glcm_DifferenceAverage,0.3779760648462032
DD_wavelet-HLL_glcm_Imc1,0.7992972775767636
DD_wavelet-HLL_glcm_InverseVariance,0.9268035005808474
DD_wavelet-HLL_glrlm_LongRunEmphasis,0.08188326330349319
DD_wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.6274884847269796
DD_wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.9980552996618735
DD_wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.6353800982462714
DD_wavelet-HLL_glszm_LargeAreaEmphasis,0.02358408895684145
DD_wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.11741294957633192
DD_wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.7044303843798608
DD_wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.09900303269186009
DD_wavelet-HLL_glszm_SmallAreaEmphasis,0.016070700246348293
DD_wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.8485183672326537
DD_wavelet-HLL_glszm_ZoneEntropy,0.4947123376901434
DD_wavelet-HLL_gldm_DependenceEntropy,0.11511395505643783
DD_wavelet-HLL_gldm_DependenceVariance,0.4947123376901434
DD_wavelet-HLH_firstorder_Kurtosis,0.09041748324667273
DD_wavelet-HLH_firstorder_Skewness,0.035592282718020285
DD_wavelet-HLH_glcm_ClusterShade,0.24611847687967967
DD_wavelet-HLH_glcm_Correlation,0.9980552996618735
DD_wavelet-HLH_glcm_DifferenceEntropy,0.18051394089840123
